"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"241","Keke Coutee (FA)","1","1","20","20.0","20","1","0","0","0","0","1","7","0.0","0.0","0.0%"
"242","Brandon Zylstra (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"243","James Washington (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"244","Ty Montgomery II (NE)","3","4","15","5.0","7","0","1","2","-2","0","0","1","0.0","0.0","0.2%"
"245","Alex Erickson (LAC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"246","Rashard Higgins (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"247","Braylon Sanders (MIA)","2","3","17","8.5","13","0","0","0","0","0","1","2","-0.3","-0.2","0.0%"
"248","Ihmir Smith-Marsette (CAR)","1","4","15","15.0","15","0","0","1","-1","0","1","4","-0.6","-0.2","0.0%"
"249","Deonte Harty (BUF)","2","2","13","6.5","9","0","0","0","0","0","1","4","-0.7","-0.2","0.3%"
"250","KaVontae Turpin (DAL)","1","2","9","9.0","9","0","0","3","17","0","2","17","-1.4","-0.1","0.7%"
"251","Chester Rogers (FA)","0","0","0","0","0","0","0","0","0","0","1","3","-2.0","-0.7","0.0%"
""
""
