"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"60","Deon Jackson (NYG)","68","236","3.5","17","0","1","30","34","209","7.0","1","1","12","54.5","4.5","1.4%"
"61","Zack Moss (IND)","93","456","4.9","43","5","1","11","13","39","3.5","0","1","13","53.5","4.1","64.7%"
"62","Nyheim Hines (BUF)","24","33","1.4","9","0","1","30","37","241","8.0","1","0","16","51.4","3.2","0.1%"
"63","Joshua Kelley (LAC)","69","287","4.2","22","1","2","14","25","101","7.2","0","0","12","50.8","4.2","15.6%"
"64","JaMycal Hasty (NE)","46","194","4.2","61","4","2","21","27","121","5.8","1","0","14","49.5","3.5","0.1%"
"65","Rashaad Penny (PHI)","57","346","6.1","41","9","2","4","5","16","4.0","0","0","5","48.2","9.6","13.2%"
"66","Zonovan Knight (DET)","85","300","3.5","48","3","1","13","14","100","7.7","0","0","7","46.0","6.6","0.3%"
"67","Caleb Huntley (FA)","76","366","4.8","30","3","1","2","2","3","1.5","0","0","12","42.9","3.6","0.0%"
"68","Boston Scott (PHI)","54","217","4.0","21","1","3","5","6","15","3.0","0","0","15","41.2","2.7","0.2%"
"69","Elijah Mitchell (SF)","45","279","6.2","37","2","2","3","4","7","2.3","0","0","5","40.6","8.1","17.3%"
"70","Matt Breida (NYG)","54","220","4.1","18","0","1","20","25","118","5.9","0","0","17","39.8","2.3","3.8%"
"71","Justin Jackson (FA)","42","170","4.0","27","1","1","12","19","101","8.4","1","0","15","39.1","2.6","0.0%"
"72","Kyle Juszczyk (SF)","7","26","3.7","9","0","1","19","23","200","10.5","1","0","13","34.6","2.7","0.3%"
"73","Rex Burkhead (FA)","26","80","3.1","9","0","0","37","51","204","5.5","1","0","15","34.4","2.3","10.0%"
"74","Mark Ingram II (FA)","62","233","3.8","14","0","1","16","18","68","4.3","0","2","10","34.1","3.4","0.0%"
"75","Raheem Blackshear (CAR)","23","77","3.3","16","0","3","10","12","93","9.3","0","1","13","33.0","2.5","0.5%"
"76","Jordan Mason (SF)","43","258","6.0","55","4","1","0","0","0","0","0","0","12","31.8","2.7","2.5%"
"77","Ty Johnson (BUF)","30","160","5.3","32","3","1","12","24","88","7.3","0","0","12","30.8","2.6","0.0%"
"78","Marlon Mack (ARI)","16","84","5.3","17","0","1","8","10","99","12.4","1","0","8","30.3","3.8","0.0%"
"79","DeeJay Dallas (SEA)","35","186","5.3","27","1","0","17","19","126","7.4","0","0","15","30.2","2.0","0.3%"
"80","Justice Hill (BAL)","49","262","5.3","34","2","0","12","12","58","4.8","0","1","15","30.0","2.0","22.1%"
"81","Ameer Abdullah (LV)","4","20","5.0","7","0","0","25","32","211","8.4","1","0","16","29.1","1.8","0.5%"
"82","J.D. McKissic (FA)","22","95","4.3","33","2","0","27","40","173","6.4","0","0","9","28.8","3.2","0.0%"
"83","Dare Ogunbowale (HOU)","42","123","2.9","11","0","1","20","26","104","5.2","0","0","15","28.7","1.9","0.2%"
"84","Malik Davis (DAL)","38","161","4.2","23","2","1","6","7","63","10.5","0","0","6","28.4","4.7","0.1%"
"85","Travis Homer (CHI)","19","74","3.9","16","0","0","16","18","157","9.8","1","1","12","27.1","2.3","0.1%"
"86","Javonte Williams (DEN)","47","204","4.3","17","0","0","16","22","76","4.8","0","1","4","26.0","6.5","90.8%"
"87","Gary Brightwell (NYG)","31","141","4.5","25","1","1","5","8","39","7.8","0","0","15","24.0","1.6","0.4%"
"88","Alec Ingold (MIA)","6","8","1.3","2","0","1","15","23","105","7.0","1","0","12","23.3","1.9","0.1%"
"89","Craig Reynolds (DET)","23","102","4.4","21","1","0","9","10","116","12.9","0","0","7","21.8","3.1","4.0%"
"90","Kyren Williams (LAR)","35","139","4.0","17","0","0","9","12","76","8.4","0","0","8","21.5","2.7","86.8%"
"91","C.J. Ham (MIN)","4","7","1.8","3","0","2","10","12","86","8.6","0","0","11","21.3","1.9","0.1%"
"92","Pierre Strong Jr. (CLE)","10","100","10.0","44","3","1","7","7","42","6.0","0","0","10","20.2","2.0","1.0%"
"93","Mike Boone (HOU)","24","102","4.3","18","0","0","9","15","96","10.7","0","0","8","19.8","2.5","0.7%"
"94","Avery Williams (ATL)","22","109","5.0","21","1","1","13","14","61","4.7","0","1","17","19.5","1.1","0.0%"
"95","Jonathan Williams (WAS)","37","152","4.1","23","1","0","7","10","40","5.7","0","0","9","19.2","2.1","0.0%"
"96","Tevin Coleman (FA)","12","26","2.2","14","0","1","3","3","44","14.7","1","0","3","19.0","6.3","0.0%"
"97","Brandon Bolden (LV)","17","66","3.9","12","0","0","10","10","62","6.2","1","0","12","18.8","1.6","0.1%"
"98","Malcolm Brown (FA)","18","81","4.5","23","1","1","5","6","37","7.4","0","0","7","17.8","2.5","0.0%"
"99","Darrel Williams (FA)","21","102","4.9","30","2","1","4","8","9","2.3","0","0","5","17.1","3.4","0.0%"
"100","Corey Clement (ARI)","15","55","3.7","12","0","1","5","7","54","10.8","0","0","5","16.9","3.4","0.1%"
"101","Benny Snell Jr. (FA)","20","90","4.5","16","0","1","2","2","17","8.5","0","0","9","16.7","1.9","0.0%"
"102","Sony Michel (FA)","36","106","2.9","12","0","0","9","13","53","5.9","0","0","10","15.9","1.6","0.0%"
"103","Derek Watt (FA)","9","21","2.3","4","0","1","5","5","11","2.2","1","0","12","15.2","1.3","0.0%"
"104","Ronald Jones II (FA)","17","70","4.1","13","0","1","1","1","22","22.0","0","0","5","15.2","3.0","0.3%"
"105","Hassan Haskins (TEN)","25","93","3.7","12","0","0","11","12","57","5.2","0","0","14","15.0","1.1","0.1%"
"106","Keaontay Ingram (ARI)","27","60","2.2","13","0","1","4","5","21","5.3","0","0","11","14.1","1.3","4.8%"
"107","Zander Horvath (FA)","4","8","2.0","3","0","0","5","8","8","1.6","2","0","8","13.6","1.7","0.0%"
"108","Reggie Gilliam (BUF)","0","0","0","0","0","0","9","11","76","8.4","1","0","8","13.6","1.7","0.1%"
"109","Salvon Ahmed (MIA)","12","64","5.3","11","0","1","1","1","8","8.0","0","0","7","13.2","1.9","2.2%"
"110","Royce Freeman (LAR)","41","117","2.9","11","0","0","6","8","33","5.5","0","1","5","13.0","2.6","15.5%"
"111","Kevin Harris (NE)","18","52","2.9","14","0","1","0","0","0","0","0","0","5","11.2","2.2","0.1%"
"112","Snoop Conner (JAC)","12","42","3.5","8","0","1","0","0","0","0","0","0","5","10.2","2.0","0.0%"
"113","Tyrion Davis-Price (SF)","34","99","2.9","20","1","0","0","2","0","0","0","0","5","9.9","2.0","0.1%"
"114","Chris Evans (CIN)","0","0","0","0","0","0","3","4","38","12.7","1","0","10","9.8","1.0","0.2%"
"115","Darrynton Evans (CHI)","14","64","4.6","21","1","0","1","1","33","33.0","0","0","3","9.7","3.2","0.4%"
"116","Kene Nwangwu (MIN)","9","14","1.6","8","0","0","2","2","21","10.5","0","0","14","9.5","0.7","0.8%"
"117","Patrick Ricard (BAL)","7","16","2.3","5","0","0","11","13","74","6.7","0","0","13","9.0","0.7","0.1%"
"118","Phillip Lindsay (FA)","15","49","3.3","15","0","0","6","8","19","3.2","0","0","3","8.8","2.9","0.0%"
"119","Jordan Wilkins (FA)","13","58","4.5","9","0","0","6","8","29","4.8","0","0","4","8.7","2.2","0.0%"
"120","Tyler Badie (DEN)","1","0","0.0","0","0","0","1","1","24","24.0","1","0","1","8.4","8.4","0.0%"
"121","Jaret Patterson (LAC)","17","78","4.6","14","0","0","0","1","0","0","0","0","2","7.8","3.9","0.0%"
"122","Ty Montgomery II (NE)","2","-2","-1.0","0","0","0","3","4","15","5.0","1","0","1","7.3","7.3","0.2%"
"123","Ke'Shawn Vaughn (TB)","17","53","3.1","12","0","0","3","4","19","6.3","0","0","9","7.2","0.8","0.4%"
"124","Zamir White (LV)","17","70","4.1","22","1","0","0","0","0","0","0","0","11","7.0","0.6","1.3%"
"125","Trayveon Williams (CIN)","6","30","5.0","16","0","0","2","3","30","15.0","0","0","9","6.0","0.7","0.8%"
"126","Tony Jones Jr. (NO)","10","24","2.4","7","0","0","5","8","30","6.0","0","0","3","5.4","1.8","0.7%"
"127","Myles Gaskin (MIN)","10","26","2.6","10","0","0","4","6","28","7.0","0","0","2","5.4","2.7","0.2%"
"128","Isaiah Spiller (LAC)","18","41","2.3","11","0","0","3","3","13","4.3","0","0","5","5.4","1.1","0.3%"
"129","Julius Chestnut (TEN)","9","12","1.3","5","0","0","3","3","41","13.7","0","0","6","5.3","0.9","0.1%"
"130","Spencer Brown (CAR)","9","43","4.8","7","0","0","2","4","10","5.0","0","0","2","5.3","2.7","0.0%"
"131","David Johnson (FA)","12","24","2.0","5","0","0","4","4","47","11.8","0","1","4","5.1","1.3","0.0%"
"132","Ronnie Rivers (LAR)","9","21","2.3","5","0","0","5","5","29","5.8","0","0","2","5.0","2.5","0.3%"
"133","Patrick Taylor Jr. (NE)","10","31","3.1","6","0","0","1","1","17","17.0","0","0","7","4.8","0.7","0.1%"
"134","Dwayne Washington (DEN)","11","38","3.5","8","0","0","1","1","7","7.0","0","0","7","4.5","0.6","0.0%"
"135","Trestan Ebner (FA)","24","54","2.3","11","0","0","2","8","8","4.0","0","1","11","4.2","0.4","0.0%"
"136","Anthony McFarland Jr. (PIT)","6","30","5.0","14","0","0","2","2","11","5.5","0","0","1","4.1","4.1","0.1%"
"137","Larry Rountree III (FA)","13","19","1.5","5","0","0","2","2","14","7.0","0","0","3","3.3","1.1","0.0%"
"138","Jonathan Ward (TEN)","5","25","5.0","12","0","0","2","3","7","3.5","0","0","4","3.2","0.8","0.0%"
"139","Giovani Bernard (FA)","8","28","3.5","8","0","0","2","2","-1","-0.5","0","0","4","2.7","0.7","0.0%"
"140","D'Ernest Johnson (JAC)","4","17","4.3","7","0","0","3","3","7","2.3","0","0","10","2.4","0.2","0.1%"
"141","Mike Davis (FA)","8","18","2.3","10","0","0","2","2","4","2.0","0","0","5","2.2","0.4","1.0%"
"142","Ty Chandler (MIN)","6","20","3.3","10","0","0","0","0","0","0","0","0","2","2.0","1.0","42.6%"
"143","Trey Sermon (IND)","2","19","9.5","14","0","0","0","0","0","0","0","0","1","1.9","1.9","0.1%"
"144","Michael Burton (DEN)","5","7","1.4","6","0","0","2","3","11","5.5","0","0","12","1.8","0.2","0.0%"
"145","Adam Prentice (FA)","4","9","2.3","3","0","0","3","3","9","3.0","0","0","6","1.8","0.3","0.0%"
"146","J.J. Taylor (HOU)","10","9","0.9","5","0","0","1","1","8","8.0","0","0","1","1.7","1.7","0.0%"
"147","Jerome Ford (CLE)","8","12","1.5","9","0","0","0","0","0","0","0","0","13","1.2","0.1","87.1%"
"148","Keith Smith (ATL)","1","2","2.0","2","0","0","1","2","8","8.0","0","0","10","1.0","0.1","0.0%"
"149","Jakob Johnson (LV)","0","0","0","0","0","0","5","6","10","2.0","0","0","11","1.0","0.1","0.0%"
"150","Reggie Bonnafon (FA)","3","8","2.7","5","0","0","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"151","Kylin Hill (FA)","1","7","7.0","7","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"152","Devine Ozigbo (FA)","3","4","1.3","4","0","0","1","1","3","3.0","0","0","3","0.7","0.2","0.0%"
"153","Godwin Igwebuike (PIT)","3","4","1.3","4","0","0","1","1","3","3.0","0","0","5","0.7","0.1","0.0%"
"154","Ty'Son Williams (FA)","0","0","0","0","0","0","1","1","5","5.0","0","0","1","0.5","0.5","0.0%"
"155","Demetric Felton Jr. (CIN)","1","-4","-4.0","0","0","0","2","4","8","4.0","0","0","6","0.4","0.1","0.0%"
"156","Duke Johnson Jr. (FA)","2","4","2.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"157","Damien Williams (FA)","2","2","1.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.1%"
"158","Jordan Howard (FA)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","0.0%"
"159","Cullen Gillaspia (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"160","Qadree Ollison (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"161","La'Mical Perine (KC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"162","Chris Myarick (FA)","0","0","0","0","0","0","7","8","65","9.3","1","0","10","0.0","0.0","0.0%"
"163","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"164","Kirk Merritt (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"165","Rico Dowdle (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","9.6%"
"166","Khari Blasingame (CHI)","0","0","0","0","0","0","0","1","0","0","0","0","5","0.0","0.0","0.0%"
"167","Andrew Beck (HOU)","2","0","0.0","1","0","0","5","11","69","13.8","0","0","9","0.0","0.0","0.0%"
